Image,Predicted Class
/home/woody/iwso/iwso092h/leaf_clf/test/bgrft7f73hwuyohzwcw0.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/uzwm6w9s4jmbszvs5pol.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/zwzmmq56606e2jnzugx4.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/rfxy0nu70cfpt9yb55ea.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/b6jxk6z8iy76450pttkp.jpg,1
/home/woody/iwso/iwso092h/leaf_clf/test/6owqdms6m619dhzcn932.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/jrqhxjnjpjozlafxuqjf.jpg,6
/home/woody/iwso/iwso092h/leaf_clf/test/o02s9h5v8zsyxsv0iul0.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/3scgddkvau2dldwoakl5.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/sceyt842xu4n36qj4yhl.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/euvywd1nubmje7apsgkk.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/ztd93vn0090sy7gdwyg0.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/jm93fdidn2jq1basgro7.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/hr2c17lwvnkorzakmn8z.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/b4o601k0mmtzh37e7s6i.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/75jnta8j85evnl50k6en.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/vpnjlqolka2kp87wz290.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/7ys1bgxyg1dtzh9i5ifh.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/4bb1hk8bn5aiyz35epib.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/dij5ubpk7jqs08d1l5uw.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/zshsjwxasod5k7lrzk35.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/r1m34tq81f30qna6kozc.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/9rg81hrrhvrgjgdtvo2u.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/relxwdqevvpegs847kq6.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/vx73xr3g8h0i8re831s5.jpg,6
/home/woody/iwso/iwso092h/leaf_clf/test/ozrws2zxkf762u9yag1w.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/ux01a06wirzv5tq5o97i.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/y2gh4mfz2qnyxqg0tnlm.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/8oylsxvjrpaajno134i8.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/2wc9qeol56uq65hh2j6m.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/keyt6dbjev6l2zu75s2e.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/f7k2ruphj4c2n74h43i9.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/kuct2hii3pe621da4d6z.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/7hx1h1fym88ct0ebksjk.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/5e3cyqk2rfdh5w2tvym0.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/km2j610y61re6mq0vfa1.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/xwszuhz8gyhs71ur3le7.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/iwyttlg558ge9no21c19.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/7pia0dbj91x3z6s2he3w.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/0c1fyjmx0g6n2t37v5h8.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/0u4hna6zufy6uudf2suk.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/2rm963u80avja8ifp47f.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/z4psw4o9nckl6x78gxpo.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/pmntipb7o1nvjmu4nrnk.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/fai86k66ecs9jkmpu4uj.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/eun82uddid19l0tvfqls.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/7x5ft2pk06svch4y2lfk.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/koaw6dz03foug0037jy7.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/2un7oal5p3apy5qhbpsw.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/plx331f2oo6zm2dyq3u0.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/1hp4z4tuz5krmtxa1fp9.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/ojujizx3y8fgm3q5poko.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/x361hmmyak02ruxm5dnr.jpg,6
/home/woody/iwso/iwso092h/leaf_clf/test/67kc37r2vctuskc7oewc.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/s1cm8waoarce5cigdxkb.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/gl90pkegldfukpmzcdwr.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/5gmt44xnabvnh1fa8e8d.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/yrtbx09fhfcede8urkkd.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/z5ftuhrgd0yj4sae092k.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/sd5lwvd4fusbaro0mb9i.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/r5272tt7drjt7w505ojf.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/1yfgdpdqqzi9vshpsjq1.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/151s2vyprg7jylt8zv8g.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/nf3r63l69ajo02mo6qta.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/x3wh77zpmhpljrqjokph.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/320bwcdyx7aymrhrp861.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/aqq7opjmbw9l9z2fsen0.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/ina07ukq97shvpptbcmt.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/2tz2073bjrvib3lxndip.jpg,6
/home/woody/iwso/iwso092h/leaf_clf/test/yt75egpo5qv8ulgvb4cr.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/6o63mikmc2xyjk44evli.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/iq5fan126l6jbi4hq34x.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/wkcfs43l6yiieet2wtjt.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/sa0yvq3is7ffj5a3nty7.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/8quy4ct9t0vigc4ve6m9.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/f0en7hg0x2cr4nwopvvz.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/tif04e0v4ka81vlisdw3.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/ghva6vfzhbe0y5h7smxw.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/ae6jwhnpktcg74mhoos0.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/wq3xn8om8y41w8c3z5wy.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/9ai1jwro2cl5a4kaqxmb.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/haystmfs38m7v0cy6a8d.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/012g6e6111r6ythdw1hd.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/v0ridze8vqrfb6s86yqy.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/r9cn025ntfw4arlys9m5.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/aulexgt8n47e900ywowa.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/dkf7km2momho7a28bjqd.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/ivar4ivb3ddsioba4loq.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/j2s2r8kobknu3g1pmf50.jpg,1
/home/woody/iwso/iwso092h/leaf_clf/test/o1j882c71602x53im9mr.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/9n6gno2q1mxg5xmbcqz9.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/4oriiqm7znga6egsg2d2.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/8z01bihk041a60zdayue.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/xt20vbhi46n9bqf7k63p.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/jwd3smdhfg4xulhaynf7.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/57do02fogec9acyxn2ub.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/qdub7rbrrgqu6dkdrrit.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/1ztulfn1ws7j837hgeiq.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/lp3gl5nra7r9e191d42u.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/x1chfok3kg4smdysuw7l.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/6vfqtbkvgy8xcyun6ya0.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/4ifbc4ntnhjk35m4tcbu.jpg,6
/home/woody/iwso/iwso092h/leaf_clf/test/hfn1wgswq5c6mpszfhkk.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/4blasgn8xc88jrgz5eu6.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/j1y75jis0engp490s58r.jpg,1
/home/woody/iwso/iwso092h/leaf_clf/test/8563ribo25kka4imd7vm.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/jpzffgazjkyjnus5lutd.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/8pgeahwjmhp4ks05edyb.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/tbntlifa6fuls2nldm8r.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/q77x5mrqibfcae3q2p0x.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/fa6sf7slyibk3rj2j6l1.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/ct8lfh0qb4uk81ve235x.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/joxgja0hlwxnx72mt84f.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/luhhypfhw200c5kkbkxx.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/zt88z08wfmciq87jjtez.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/haofetwh3fliyuigimu2.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/ezacvwwsqo9bcuzahkrw.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/f8ihl21lin4nunwd1hvl.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/pd8n23eeqkyq9vi5g867.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/yx3aqkgwcezengwmul3n.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/zy6h7v0yrlwqebn92h9s.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/zos5mi49wrm25q81qiat.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/wb93bdlxdrys3wg1cqnm.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/m92e1c5yqvkzig9zr7wv.jpg,1
/home/woody/iwso/iwso092h/leaf_clf/test/rvy2t9qucjb61e1iexb9.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/y917gfu8bvlrt2cneysb.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/ou7fqpchicupc942ei8x.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/s8u1z3tnw3juepb5f4fs.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/u9fpvkau4pyw2vuksr64.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/xrxt8plgzrh729chrzyq.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/lndcdux31crovyse1cm5.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/g3uv9sin40uy6ipwr1gq.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/h5cwezsyqw8f5msdhv9d.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/3t791s31ho5i60d726w5.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/n6zxi5m1hcsa5kittufq.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/1r6a14i9x1da7nij9ykr.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/17o3jg4fvm76ypu1lchz.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/w8ephmd7mrecada5b8y5.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/v7xxq4v9wn68yqpfh1pn.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/n38dxtk04ulxptl0o3sg.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/8qws0mvfm5arkzxst2lu.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/ocxzfjn1fk39dgcu94b0.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/25g2727h6ty307xe8bjx.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/y3kpwfspffmakcq8jids.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/zedh8kblf8wsef85np7n.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/51h0o68hwnc76l9198py.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/goydustsrad0kemuglb1.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/tmldcsss65hvj5t1a49p.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/ljy9ek23t4979gjz71tv.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/p8wimaq08zq9hdfn1vdj.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/cq92zdozqb67qrraxz90.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/1t2asy7yql77shjfu90c.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/giggcipoi52edditezpe.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/ora8faafls6wm6wfx5b1.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/5hosuwhqw7zy2swo0okx.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/iurfofk50g0o8550isjz.jpg,1
/home/woody/iwso/iwso092h/leaf_clf/test/w9whzqhv44if05cpcqn8.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/j47zlmzz37kp7yh4a08c.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/o5fe23l4iadgrbmk26bt.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/wb82u3hzjfo08kpjcjlc.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/0677vr4autivz58ehnkj.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/rek1ij0uywp0csdr9nj6.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/3q5f30k0kggshh3l95zu.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/70cmtdxlt2p114ejis5p.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/8u1mzsm7ibtvifrbtsrt.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/k2yp7du1xw064wixshx3.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/yapoijvpawsesffwdplr.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/ktn3njtpdkf99cexsh6q.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/eo4ojeqy51hzfympykzy.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/eiiqtxw7g98nqt02frph.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/bfus33p3wka9qu1plvg3.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/zzg8murqnkdzcow1d9df.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/zdsvygej5dafh2olusth.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/ezswb13ui6ty8n05q7b8.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/bfrgbq6jhubf7mq8kmoq.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/k06fpk66iszuq5cyo5hg.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/e5gyxjfyqm5ky4540vc4.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/hvcweo78a8kn4p9p5bch.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/42tjv7kzn1isxqf00iy1.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/ze8w61z9kdhz7ztisqk3.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/fii9v1e5xa1b1moj13r9.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/y6hjgpe8hpg7ge0z1uyd.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/o4ywsx94edgy7zc8itui.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/2cwzikq0wzfjn1nhwmmz.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/7smf93xfk79zifaxgowz.jpg,1
/home/woody/iwso/iwso092h/leaf_clf/test/d3pgtavg4fl33kfvorct.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/400qxmeg5icx9o3rv8qx.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/i8kmqmrg1gdqk2rzvhys.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/uykg61os49nc4woqixzm.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/y6f9bh5lehjbgwwmijyt.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/oho3dw1go6gjbr0dx22u.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/9s17g4ho7g5l9c8l6t9c.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/ri3qq8yx2e9umo01ta9f.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/xcw5q24xn0kdpk5bdlfa.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/fa4zfq3egy8ddc9an081.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/yjuivch1en9do3j65wiq.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/2lpj4r3w6ikt49ihy0bq.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/mise2yt8unfktsbxvhvx.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/pei1dh7kl37blqfrja7r.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/dz8416awzy8jrwdcp2ac.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/39svt02xycfqbkq5jyi5.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/pdeehgn8grcqde2mo6ua.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/ar62bjq4a7bv13xmx3yr.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/0v0gfi4i6j7rc8ezcjmm.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/f9z882v7vy6npkkgk72y.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/2ed7xu6s6rg03yj1eupg.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/sen8hw1omuf4axc47sv7.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/2j2gcxpbokl4b0g7ba5s.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/ke8mh2jn14m7knjq5wkv.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/cejklg68v7304ugxgx71.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/8qg30qyn74hua5tv0g70.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/ofv31vsl39cei595lc4m.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/i2n935tfkashfhcuw5dl.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/vmm2nljnzkdopao8fsg3.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/es0znrae4r0f6oruqpng.jpg,6
/home/woody/iwso/iwso092h/leaf_clf/test/sb6eywto4qtgk6grc2ko.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/wv178l78t0hjpql5va1d.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/ehfgzprr6k3hr8o79ut8.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/qxv02mfvfeyw9p8fdjkl.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/xq3g4lr6c0k5ecm7gi9q.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/4g690dnwqhphowaau7e5.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/h0hkgghi8n3g4ngnml9e.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/5tf9o5fhqf5k5naf3tj9.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/czfjxelcqevwz47vhw8h.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/3qyck6x7ig07o4fl8abh.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/tswvomsqmo2ua7jk7umu.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/xzf13gz59maaedfieshs.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/glk6099k6hlerrx35mj1.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/cgwv6q4ajwch2cgcvagn.jpg,3
/home/woody/iwso/iwso092h/leaf_clf/test/6okbdkb3xxp3qnrs1h6m.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/h0by6qvo09v974h2a0j3.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/haceqoxv2cg2qblh1nfj.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/qvl27p84fl69rrs1top2.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/s2rcy8ls3yfeauj3af14.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/imak4amnv0r3vno0livo.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/p32byxpjpoxeybo581aw.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/gu7qsqixkaqn065v701g.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/95goi2ho14l28ixb03it.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/6zzrivxzc4wnfmu1i8ql.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/euxf00ov3yki3782ufna.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/qgrvkamz6uw5xsr1vzf8.jpg,2
/home/woody/iwso/iwso092h/leaf_clf/test/41ioy60uww7bwwjgk8eo.jpg,7
/home/woody/iwso/iwso092h/leaf_clf/test/jvfwzme2yzqba68wxn2t.jpg,9
/home/woody/iwso/iwso092h/leaf_clf/test/wcft1kjwvm4rlw1g0449.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/vh42vww1v9nc744cu23i.jpg,8
/home/woody/iwso/iwso092h/leaf_clf/test/fw0fxjyydxbf52x540c5.jpg,0
/home/woody/iwso/iwso092h/leaf_clf/test/8zp91gu7ghq3vaen2rv1.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/3xszye7vvs2ofi7vle5t.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/d46o0la2m1vj78ufs5o5.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/907m3mid444ebwg4t073.jpg,4
/home/woody/iwso/iwso092h/leaf_clf/test/io67qwooltj1yy88e3xd.jpg,1
/home/woody/iwso/iwso092h/leaf_clf/test/77cwgv351x72pa3o7fmt.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/6ljnzmmyfn9mqy5ql84q.jpg,5
/home/woody/iwso/iwso092h/leaf_clf/test/gni6iuvz2nporijme6u8.jpg,5
